,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_random_strength,param_scale_pos_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
14,3.9701128005981445,0.19346582275692548,0.016242186228434246,0.001269854407255878,0.5,4,300,7,0.05,1,3,"{'bagging_temperature': 0.5, 'depth': 4, 'iterations': 300, 'l2_leaf_reg': 7, 'learning_rate': 0.05, 'random_strength': 1, 'scale_pos_weight': 3}",0.9561243144424131,0.9544626593806921,0.9672055427251732,0.9592641721827594,0.005656223649218831,429
15,4.015572388966878,0.1508582054234398,0.016788800557454426,0.002016695749474997,0.5,4,300,7,0.05,2,1,"{'bagging_temperature': 0.5, 'depth': 4, 'iterations': 300, 'l2_leaf_reg': 7, 'learning_rate': 0.05, 'random_strength': 2, 'scale_pos_weight': 1}",0.9598506069094305,0.969640354974311,0.9671272034302048,0.965539388437982,0.004151357940931566,411
16,3.957089821497599,0.26936190501114965,0.014887173970540365,0.00232256081265697,0.5,4,300,7,0.05,2,2,"{'bagging_temperature': 0.5, 'depth': 4, 'iterations': 300, 'l2_leaf_reg': 7, 'learning_rate': 0.05, 'random_strength': 2, 'scale_pos_weight': 2}",0.957720588235294,0.9610270518110958,0.9687062120504436,0.9624846173656111,0.00460176456454677,423
17,4.008385181427002,0.022464892727588077,0.018575747807820637,0.003921765233011695,0.5,4,300,7,0.05,2,3,"{'bagging_temperature': 0.5, 'depth': 4, 'iterations': 300, 'l2_leaf_reg': 7, 'learning_rate': 0.05, 'random_strength': 2, 'scale_pos_weight': 3}",0.9503416856492027,0.9518619436875568,0.9657407407407407,0.9559814566925001,0.006928709113847858,431
18,3.8489371140797934,0.0605138222133314,0.015407959620157877,0.0012099756174022813,0.5,4,300,7,0.1,1,1,"{'bagging_temperature': 0.5, 'depth': 4, 'iterations': 300, 'l2_leaf_reg': 7, 'learning_rate': 0.1, 'random_strength': 1, 'scale_pos_weight': 1}",0.9653882132834424,0.9730751062824752,0.9734597156398104,0.9706410117352426,0.003717606736496291,339
19,3.915398677190145,0.061713150023009374,0.015177726745605469,0.001433130581957859,0.5,4,300,7,0.1,1,2,"{'bagging_temperature': 0.5, 'depth': 4, 'iterations': 300, 'l2_leaf_reg': 7, 'learning_rate': 0.1, 'random_strength': 1, 'scale_pos_weight': 2}",0.9633070134695774,0.968070337806571,0.9775070290534208,0.9696281267765231,0.005900855333566889,367
20,3.831615447998047,0.08700957375482841,0.01203775405883789,0.003192651830560939,0.5,4,300,7,0.1,1,3,"{'bagging_temperature': 0.5, 'depth': 4, 'iterations': 300, 'l2_leaf_reg': 7, 'learning_rate': 0.1, 'random_strength': 1, 'scale_pos_weight': 3}",0.9657407407407407,0.9614325068870524,0.9738562091503268,0.96700981892604,0.005150729013898527,401
21,3.817040284474691,0.029434875980179933,0.01220401128133138,0.001440627888948697,0.5,4,300,7,0.1,2,1,"{'bagging_temperature': 0.5, 'depth': 4, 'iterations': 300, 'l2_leaf_reg': 7, 'learning_rate': 0.1, 'random_strength': 2, 'scale_pos_weight': 1}",0.9635173058933584,0.9723134678554669,0.9723809523809525,0.9694039087099259,0.0041625479440931075,375
22,3.8351126511891684,0.06257865753948438,0.01577472686767578,0.0016814201261664062,0.5,4,300,7,0.1,2,2,"{'bagging_temperature': 0.5, 'depth': 4, 'iterations': 300, 'l2_leaf_reg': 7, 'learning_rate': 0.1, 'random_strength': 2, 'scale_pos_weight': 2}",0.9633750579508576,0.9711895910780668,0.9742870500233755,0.9696172330174333,0.004591450399078866,369
23,3.879013935724894,0.1529897619199102,0.017935832341512043,0.003591956806202206,0.5,4,300,7,0.1,2,3,"{'bagging_temperature': 0.5, 'depth': 4, 'iterations': 300, 'l2_leaf_reg': 7, 'learning_rate': 0.1, 'random_strength': 2, 'scale_pos_weight': 3}",0.9608835710998619,0.9627586206896552,0.9743110695936479,0.965984420461055,0.005937382536327401,407
