,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,4.700367450714111,0.023999059100306624,0.05181535085042318,0.0025279716432407623,0.05,3,1,2,300,0.5,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 0.5}",0.9513212795549375,0.9556786703601109,0.9597378277153558,0.9555792592101348,0.0034367603608354462,144
1,5.705339113871257,0.07649662744120607,0.04549447695414225,0.004542650289645197,0.05,3,1,2,300,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 0.8}",0.9530887134231306,0.9579288025889967,0.9612692487167521,0.9574289215762932,0.0033583428644390397,138
2,9.472421805063883,0.06697287029112098,0.08761270840962727,0.005185542293828273,0.05,3,1,2,600,0.5,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 600, 'subsample': 0.5}",0.964871194379391,0.9679516953088714,0.9714553111839026,0.9680927336240549,0.0026898038811563386,124
3,11.446831067403158,0.17672138204643648,0.08146556218465169,0.0013580182229333848,0.05,3,1,2,600,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 600, 'subsample': 0.8}",0.9630322882545626,0.9684014869888476,0.9727954971857411,0.9680764241430504,0.003992435476310124,125
4,14.033383766810099,0.08521259458609937,0.11444203058878581,0.0026815969286811047,0.05,3,1,2,900,0.5,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 900, 'subsample': 0.5}",0.9677117454375292,0.9711090400745573,0.9760450915922969,0.9716219590347945,0.003421352454670845,110
5,17.01296861966451,0.21515123225025967,0.11102906862894694,0.0018450946717339346,0.05,3,1,2,900,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 900, 'subsample': 0.8}",0.9657759024847632,0.9720149253731343,0.9765478424015009,0.9714462234197995,0.004415973945141067,112
6,4.714388608932495,0.05678483056136667,0.05457329750061035,0.007282662501626369,0.05,3,1,5,300,0.5,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300, 'subsample': 0.5}",0.9505316689782708,0.9565217391304349,0.9611605053813758,0.9560713044966939,0.004350878021767365,142
7,5.855806907018025,0.06249277064707359,0.05160299936930338,0.00044756128607114894,0.05,3,1,5,300,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300, 'subsample': 0.8}",0.95,0.9570835256114443,0.9610876699484294,0.9560570651866245,0.004584344516876053,143
8,9.321516354878744,0.07808323210009843,0.08070484797159831,0.005933278715331615,0.05,3,1,5,600,0.5,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 600, 'subsample': 0.5}",0.9639344262295081,0.9660938225731538,0.9686476368741226,0.9662252952255947,0.0019264046717277514,135
9,11.185107072194418,0.15679259024966677,0.08715756734212239,0.006992885782220952,0.05,3,1,5,600,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 600, 'subsample': 0.8}",0.9620608899297424,0.9689095127610209,0.9705194197473093,0.9671632741460242,0.0036673054271536836,129
10,14.100423892339071,0.07324455293947905,0.13046367963155112,0.007078081077938018,0.05,3,1,5,900,0.5,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 900, 'subsample': 0.5}",0.9667758540009358,0.9739292364990689,0.9755639097744361,0.9720896667581469,0.003816236688442753,106
11,17.516549746195476,0.16902076424918067,0.1151740550994873,0.002892455257600517,0.05,3,1,5,900,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 900, 'subsample': 0.8}",0.9676208352885969,0.9757009345794393,0.9774223894637817,0.9735813864439393,0.004272936483364169,88
12,4.493246873219808,0.04640641182052813,0.05982311566670736,0.006393974066341228,0.05,3,3,2,300,0.5,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 0.5}",0.9537465309898242,0.9562010142923006,0.9607843137254902,0.956910619669205,0.0029166477677644905,140
13,5.566949844360352,0.0276370626856432,0.05319341023763021,0.0024945660874004716,0.05,3,3,2,300,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 0.8}",0.9530887134231306,0.9576036866359446,0.9626517273576097,0.9577813758055617,0.003906105388449371,137
14,9.755305846532186,0.13140029879289042,0.09266869227091472,0.01222671871436022,0.05,3,3,2,600,0.5,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 600, 'subsample': 0.5}",0.9626865671641791,0.9670533642691416,0.9695264885138302,0.9664221399823836,0.0028278335750768525,134
