,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_random_state,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
204,0.6542463302612305,0.04769221573977986,0.01700037717819214,1.7550506430072137e-06,1.0,0.3,0.01,3,5,650,42,1.0,0.6,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 650, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 0.6}",0.9216674007330711,0.939341424592121,0.9477767595673048,0.9562406856924266,0.9412565676462309,0.012791011781513862,150
205,0.4154994487762451,0.021696322268256282,0.017500638961791992,0.0005015180857088613,1.0,0.3,0.01,3,5,650,42,1.0,1.0,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 650, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9223864258347017,0.9358158806427465,0.9456598447424136,0.9555376585886266,0.9398499524521222,0.012258746566540373,166
206,0.9010029435157776,0.0985531099716809,0.02550297975540161,0.003205993735248745,1.0,0.3,0.01,3,5,900,42,1.0,0.6,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 900, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 0.6}",0.9152846150169669,0.939341424592121,0.9477767595673048,0.9569443579659935,0.9398367892855966,0.015481978892615857,178
207,0.6322507262229919,0.05791942079032858,0.02374863624572754,0.000828917129626497,1.0,0.3,0.01,3,5,900,42,1.0,1.0,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 900, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9223864258347017,0.9358158806427465,0.9456598447424136,0.9555376585886266,0.9398499524521222,0.012258746566540373,166
208,0.6189995408058167,0.006041796148675567,0.017002880573272705,0.0007043596126978617,1.0,0.3,0.01,6,1,300,42,1.0,0.6,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 300, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 0.6}",0.9781373421338349,0.9830742144370506,0.9816502703499608,0.9929427491104974,0.9839511440078359,0.005493457008432119,26
209,0.5945034027099609,0.023637173578115907,0.01949864625930786,0.003200185260596998,1.0,0.3,0.01,6,1,300,42,1.0,1.0,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 300, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9802528966131908,0.9830739113827349,0.9788276568277445,0.9950599858856739,0.984303612677336,0.0063954304579518315,21
210,1.1254997253417969,0.08012677422252935,0.029501795768737793,0.004386525777771804,1.0,0.3,0.01,6,1,550,42,1.0,0.6,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 550, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 0.6}",0.9781373421338349,0.9830742144370506,0.9809442932244882,0.9929427491104974,0.9837746497264678,0.0055752760185564,31
211,0.9565009474754333,0.07472735701887695,0.0260007381439209,0.0007073934286126465,1.0,0.3,0.01,6,1,550,42,1.0,1.0,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 550, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9802528966131908,0.9837793183573613,0.9788276568277445,0.9950599858856739,0.9844799644209926,0.006368760524624141,15
212,1.3255001306533813,0.04813692555824387,0.030750513076782227,0.001092353404268822,1.0,0.3,0.01,6,1,650,42,1.0,0.6,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 650, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 0.6}",0.9788427680463132,0.9830742144370506,0.9809442932244882,0.9929427491104974,0.9839510062045873,0.005402652689095166,27
213,1.3040008544921875,0.06015282963385499,0.02924811840057373,0.001783224858613319,1.0,0.3,0.01,6,1,650,42,1.0,1.0,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 650, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9802528966131908,0.9837793183573613,0.9788276568277445,0.9950599858856739,0.9844799644209926,0.006368760524624141,15
214,1.8252472281455994,0.06703499304554329,0.04150044918060303,0.0011192859072183322,1.0,0.3,0.01,6,1,900,42,1.0,0.6,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 900, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 0.6}",0.9788427680463132,0.9830742144370506,0.9823562137256454,0.9929427491104974,0.9843039863298766,0.005238303268873062,17
215,1.672996163368225,0.06315814886272776,0.038500428199768066,0.0005005599203834123,1.0,0.3,0.01,6,1,900,42,1.0,1.0,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 900, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9802528966131908,0.9830739113827349,0.9795335748882498,0.9950599858856739,0.9844800921924624,0.006249974218658637,14
216,0.4774983525276184,0.028754884199272628,0.01650059223175049,0.0004997262660092624,1.0,0.3,0.01,6,5,300,42,1.0,0.6,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 300, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 0.6}",0.9668499603319679,0.979548405803156,0.9717689717689718,0.988708488555093,0.9767189566147971,0.008271246829548681,111
217,0.44774407148361206,0.010919441298084764,0.01650059223175049,0.0004996066160570597,1.0,0.3,0.01,6,5,300,42,1.0,1.0,"{'colsample_bytree': 1.0, 'gamma': 0.3, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 300, 'random_state': 42, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9753158629525571,0.9816637323068047,0.9745940992489591,0.9943542667718519,0.9814819903200431,0.007924529975347455,33
