,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
945,1.1990901827812195,0.08171963401169709,0.07252097129821777,0.0028056720690823648,0.5,0.3,0.1,7,3,800,1.5,1.0,"{'colsample_bytree': 0.5, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 800, 'reg_lambda': 1.5, 'subsample': 1.0}",0.9661484288741011,0.9774326001846134,0.9795338602975417,0.9647140267346654,0.9719572290227304,0.0065877000802133994,1390
946,1.388508379459381,0.03525956773667637,0.07327890396118164,0.0010888564892030338,0.5,0.3,0.1,7,3,800,2.0,0.6,"{'colsample_bytree': 0.5, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 800, 'reg_lambda': 2.0, 'subsample': 0.6}",0.9619154671786251,0.973906275255822,0.9774170670874073,0.9625967379410949,0.9689588868657373,0.0068210000068304145,1632
947,1.1675710678100586,0.018329173828871195,0.07077354192733765,0.0016886640489525945,0.5,0.3,0.1,7,3,800,2.0,1.0,"{'colsample_bytree': 0.5, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 800, 'reg_lambda': 2.0, 'subsample': 1.0}",0.9647373153806977,0.974611927738886,0.9795341864698427,0.9625963653713694,0.9703699487401989,0.006966577279149314,1503
948,1.7333182096481323,0.07134642713601855,0.09154218435287476,0.0018714070566923794,0.5,0.3,0.1,7,3,1000,1.0,0.6,"{'colsample_bytree': 0.5, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 1000, 'reg_lambda': 1.0, 'subsample': 0.6}",0.9647379467438553,0.9767274962587638,0.9774167971535921,0.9668313338038109,0.9714283934900055,0.005697291110989203,1422
949,1.4556394815444946,0.06690284494540114,0.09053337574005127,0.005146395229270341,0.5,0.3,0.1,7,3,1000,1.0,1.0,"{'colsample_bytree': 0.5, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 1000, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9668533896867818,0.9809590120927133,0.9816512939020261,0.9633022953745871,0.9731914977640271,0.008213865829209103,1294
950,1.8367692232131958,0.15912296103130924,0.0969133973121643,0.017414097028793173,0.5,0.3,0.1,7,3,1000,1.5,0.6,"{'colsample_bytree': 0.5, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 1000, 'reg_lambda': 1.5, 'subsample': 0.6}",0.9640324015750186,0.9774326001846134,0.976710944476513,0.9625963653713694,0.9701930779018786,0.006902123616005423,1527
951,1.5539196133613586,0.05357122305749379,0.09014993906021118,0.0028127310304314353,0.5,0.3,0.1,7,3,1000,1.5,1.0,"{'colsample_bytree': 0.5, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 1000, 'reg_lambda': 1.5, 'subsample': 1.0}",0.9668539172168549,0.9774326001846134,0.9795338602975417,0.9640081817923742,0.971957139872846,0.006644850902417982,1391
952,1.6336801648139954,0.014199535091665997,0.08178162574768066,0.0010902748543998866,0.5,0.3,0.1,7,3,1000,2.0,0.6,"{'colsample_bytree': 0.5, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 1000, 'reg_lambda': 2.0, 'subsample': 0.6}",0.9612097157252599,0.9724958036480287,0.9781227510539698,0.9640078232818837,0.9689590234272855,0.006727720102055328,1630
953,1.3790221810340881,0.051916323307656866,0.08502423763275146,0.0013654932286310544,0.5,0.3,0.1,7,3,1000,2.0,1.0,"{'colsample_bytree': 0.5, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 1000, 'reg_lambda': 2.0, 'subsample': 1.0}",0.9654428956309002,0.974611927738886,0.9809455080077276,0.9597721672944717,0.9701931246679965,0.008159359603386837,1526
954,0.94770747423172,0.054193132389434545,0.05377006530761719,0.002251911547770286,0.5,0.3,0.1,7,5,600,1.0,0.6,"{'colsample_bytree': 0.5, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'n_estimators': 600, 'reg_lambda': 1.0, 'subsample': 0.6}",0.9605027287178904,0.9753170414865677,0.9767111764538892,0.9640081817923742,0.9691347821126804,0.007007432818696622,1624
955,0.8508080840110779,0.0287872306553988,0.05376654863357544,0.0016739486558817586,0.5,0.3,0.1,7,5,600,1.0,1.0,"{'colsample_bytree': 0.5, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'n_estimators': 600, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9626211638995863,0.9760221376961518,0.9788282473314927,0.9618903896724839,0.9698404846499287,0.007653680726466034,1552
956,0.9588462114334106,0.03679268499119924,0.052018582820892334,0.002818647557088853,0.5,0.3,0.1,7,5,600,1.5,0.6,"{'colsample_bytree': 0.5, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'n_estimators': 600, 'reg_lambda': 1.5, 'subsample': 0.6}",0.9619154671786251,0.9732014792799353,0.9774170670874073,0.9640081817923742,0.9691355488345854,0.006394036418072172,1615
957,0.8250479102134705,0.019798720431001213,0.05126851797103882,0.0017444408965746182,0.5,0.3,0.1,7,5,600,1.5,1.0,"{'colsample_bytree': 0.5, 'gamma': 0.3, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'n_estimators': 600, 'reg_lambda': 1.5, 'subsample': 1.0}",0.9647379467438553,0.9774326001846134,0.9767106197004221,0.9633018567216511,0.9705457558376356,0.006550551358064234,1499
