iter	Passed	Remaining
419	3469	660
420	3475	652
421	3482	643
422	3489	635
423	3495	626
424	3503	618
425	3510	609
426	3517	601
427	3524	592
428	3531	584
429	3538	575
430	3545	567
431	3553	559
432	3560	550
433	3569	542
434	3577	534
435	3585	526
436	3594	518
437	3603	510
438	3611	501
439	3620	493
440	3628	485
441	3635	477
442	3643	468
443	3651	460
444	3658	452
445	3665	443
446	3672	435
447	3680	427
448	3686	418
449	3692	410
450	3698	401
451	3703	393
452	3711	385
453	3718	376
454	3724	368
455	3731	360
456	3737	351
457	3745	343
458	3753	335
459	3760	326
460	3766	318
461	3773	310
462	3780	302
463	3788	293
464	3795	285
465	3803	277
466	3810	269
467	3819	261
468	3829	253
469	3838	245
470	3847	236
471	3855	228
472	3864	220
473	3872	212
474	3882	204
475	3892	196
476	3903	188
477	3912	180
478	3923	171
479	3936	164
480	3945	155
481	3953	147
482	3961	139
483	3969	131
484	3976	122
485	3984	114
486	3992	106
487	4001	98
488	4009	90
489	4016	81
490	4025	73
491	4032	65
492	4042	57
493	4050	49
494	4058	40
495	4066	32
496	4074	24
497	4082	16
498	4090	8
499	4097	0
