,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
3553,13.137378752231598,0.3578822087278748,0.012010335922241211,0.000616731537793225,0.8,0.01,6,20,900,31,0.3,0.85,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_samples': 20, 'n_estimators': 900, 'num_leaves': 31, 'reg_lambda': 0.3, 'subsample': 0.85}",0.9837789956545375,0.9880111344363328,0.9915312989325971,0.9936485406285719,0.9892424924130099,0.0037422565204207367,6307
3554,13.534686625003815,0.8342831350736241,0.01425081491470337,0.003345621134959882,0.8,0.01,6,20,900,31,0.3,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_samples': 20, 'n_estimators': 900, 'num_leaves': 31, 'reg_lambda': 0.3, 'subsample': 1.0}",0.9837789956545375,0.9880111344363328,0.9915312989325971,0.9936485406285719,0.9892424924130099,0.0037422565204207367,6307
3555,21.46867525577545,1.1223865876304906,0.017004072666168213,0.000710015920082326,0.8,0.01,6,20,900,45,0.0,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_samples': 20, 'n_estimators': 900, 'num_leaves': 45, 'reg_lambda': 0.0, 'subsample': 0.7}",0.9823684735375408,0.987305837603845,0.9922370588179632,0.9936485026692425,0.9888899681571479,0.004440890346484175,6565
3556,22.589269638061523,1.3556203035654777,0.017131328582763672,0.00022303080040362563,0.8,0.01,6,20,900,45,0.0,0.85,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_samples': 20, 'n_estimators': 900, 'num_leaves': 45, 'reg_lambda': 0.0, 'subsample': 0.85}",0.9823684735375408,0.987305837603845,0.9922370588179632,0.9936485026692425,0.9888899681571479,0.004440890346484175,6565
3557,22.5173037648201,1.1199388961680679,0.01650005578994751,0.0005003815111903947,0.8,0.01,6,20,900,45,0.0,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_samples': 20, 'n_estimators': 900, 'num_leaves': 45, 'reg_lambda': 0.0, 'subsample': 1.0}",0.9823684735375408,0.987305837603845,0.9922370588179632,0.9936485026692425,0.9888899681571479,0.004440890346484175,6565
3558,13.493392407894135,1.0947928288513755,0.01300126314163208,0.0012223719547825812,0.8,0.01,6,20,900,45,0.1,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_samples': 20, 'n_estimators': 900, 'num_leaves': 45, 'reg_lambda': 0.1, 'subsample': 0.7}",0.9830739113827349,0.987305837603845,0.9908256149666836,0.9943542442775466,0.9888899020577026,0.004181537638442689,6571
3559,13.07157188653946,1.3455154850668662,0.01500016450881958,0.0018712029807694598,0.8,0.01,6,20,900,45,0.1,0.85,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_samples': 20, 'n_estimators': 900, 'num_leaves': 45, 'reg_lambda': 0.1, 'subsample': 0.85}",0.9830739113827349,0.987305837603845,0.9908256149666836,0.9943542442775466,0.9888899020577026,0.004181537638442689,6571
3560,13.393514692783356,1.2224206351214835,0.014999568462371826,0.0030825251703245115,0.8,0.01,6,20,900,45,0.1,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_samples': 20, 'n_estimators': 900, 'num_leaves': 45, 'reg_lambda': 0.1, 'subsample': 1.0}",0.9830739113827349,0.987305837603845,0.9908256149666836,0.9943542442775466,0.9888899020577026,0.004181537638442689,6571
3561,13.445263862609863,0.43544442851907617,0.012246370315551758,0.00043862173204610504,0.8,0.01,6,20,900,45,0.3,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_samples': 20, 'n_estimators': 900, 'num_leaves': 45, 'reg_lambda': 0.3, 'subsample': 0.7}",0.9830739113827349,0.9880111344363328,0.9936485406285719,0.992942805346933,0.9894190979486431,0.0042587689835134595,6124
3562,13.942286252975464,0.9224114639227528,0.01237952709197998,0.0004167374841802609,0.8,0.01,6,20,900,45,0.3,0.85,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_samples': 20, 'n_estimators': 900, 'num_leaves': 45, 'reg_lambda': 0.3, 'subsample': 0.85}",0.9830739113827349,0.9880111344363328,0.9936485406285719,0.992942805346933,0.9894190979486431,0.0042587689835134595,6124
3563,13.79040676355362,0.9444474644907969,0.016500234603881836,0.001658623658360656,0.8,0.01,6,20,900,45,0.3,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'min_child_samples': 20, 'n_estimators': 900, 'num_leaves': 45, 'reg_lambda': 0.3, 'subsample': 1.0}",0.9830739113827349,0.9880111344363328,0.9936485406285719,0.992942805346933,0.9894190979486431,0.0042587689835134595,6124
3564,4.838308870792389,0.3365170991926261,0.006505072116851807,0.0005012189523849764,0.8,0.01,8,5,400,15,0.0,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 400, 'num_leaves': 15, 'reg_lambda': 0.0, 'subsample': 0.7}",0.9802519537156409,0.9887163000923067,0.9844741717632528,0.988002225333439,0.9853611627261598,0.003358680102463232,8275
3565,4.744296193122864,0.15229106946706863,0.0061261653900146484,0.0005420688243501802,0.8,0.01,8,5,400,15,0.0,0.85,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 400, 'num_leaves': 15, 'reg_lambda': 0.0, 'subsample': 0.85}",0.9802519537156409,0.9887163000923067,0.9844741717632528,0.988002225333439,0.9853611627261598,0.003358680102463232,8275
