,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,8.22113960981369,0.4992953185167401,0.013127923011779785,0.000740345480178667,0.05,4,5,600,15,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 600, 'num_leaves': 15, 'subsample': 0.7}",0.9851882801483262,0.9929477997931089,0.995059946520522,0.9901199274857064,0.9908289884869158,0.0036983349394646204,472
1,7.7009952664375305,0.6350721333956153,0.015884459018707275,0.006470234520541557,0.05,4,5,600,15,0.85,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 600, 'num_leaves': 15, 'subsample': 0.85}",0.9851882801483262,0.9929477997931089,0.995059946520522,0.9901199274857064,0.9908289884869158,0.0036983349394646204,472
2,7.899490177631378,0.6971681038751021,0.0117531418800354,0.0014757661355732491,0.05,4,5,600,15,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 600, 'num_leaves': 15, 'subsample': 1.0}",0.9851882801483262,0.9929477997931089,0.995059946520522,0.9901199274857064,0.9908289884869158,0.0036983349394646204,472
3,8.615896701812744,0.5916059613100985,0.013252496719360352,0.0010933970526017885,0.05,4,5,600,31,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 600, 'num_leaves': 31, 'subsample': 0.7}",0.9865993467293444,0.9922425604822165,0.9957656832081598,0.9894141711154042,0.9910054403837812,0.0033961808351864364,454
4,8.36001056432724,0.6725783073416467,0.013752877712249756,0.001478848547278538,0.05,4,5,600,31,0.85,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 600, 'num_leaves': 31, 'subsample': 0.85}",0.9865993467293444,0.9922425604822165,0.9957656832081598,0.9894141711154042,0.9910054403837812,0.0033961808351864364,454
5,6.915609836578369,0.1297763737600893,0.013001501560211182,0.0012250948669393327,0.05,4,5,600,31,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 600, 'num_leaves': 31, 'subsample': 1.0}",0.9865993467293444,0.9922425604822165,0.9957656832081598,0.9894141711154042,0.9910054403837812,0.0033961808351864364,454
6,7.6551618576049805,0.5884236190595153,0.010753393173217773,0.0008257596940498581,0.05,4,5,600,45,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 600, 'num_leaves': 45, 'subsample': 0.7}",0.9865993467293444,0.9922425604822165,0.9957656832081598,0.9894141711154042,0.9910054403837812,0.0033961808351864364,454
7,6.854609489440918,0.05742323245934704,0.015002965927124023,0.005241473035337734,0.05,4,5,600,45,0.85,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 600, 'num_leaves': 45, 'subsample': 0.85}",0.9865993467293444,0.9922425604822165,0.9957656832081598,0.9894141711154042,0.9910054403837812,0.0033961808351864364,454
8,6.94613653421402,0.12918835567918985,0.013507723808288574,0.005285845797357185,0.05,4,5,600,45,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 600, 'num_leaves': 45, 'subsample': 1.0}",0.9865993467293444,0.9922425604822165,0.9957656832081598,0.9894141711154042,0.9910054403837812,0.0033961808351864364,454
9,8.889192819595337,0.09879584182851804,0.013261735439300537,0.0013528709951032974,0.05,4,5,800,15,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 15, 'subsample': 0.7}",0.9851877496750586,0.9936530292834966,0.9957656832081598,0.9908256149666836,0.9913580192833498,0.003970209489757824,409
10,8.351031005382538,0.1645559815838176,0.017500579357147217,0.0068011759196699535,0.05,4,5,800,15,0.85,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 15, 'subsample': 0.85}",0.9851877496750586,0.9936530292834966,0.9957656832081598,0.9908256149666836,0.9913580192833498,0.003970209489757824,409
11,8.393383085727692,0.2359122229977706,0.014131903648376465,0.000742912091630387,0.05,4,5,800,15,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 15, 'subsample': 1.0}",0.9851877496750586,0.9936530292834966,0.9957656832081598,0.9908256149666836,0.9913580192833498,0.003970209489757824,409
12,8.713828146457672,0.5909648399340872,0.015256404876708984,0.0016411551421628692,0.05,4,5,800,31,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 31, 'subsample': 0.7}",0.9851877496750586,0.9936530292834966,0.9964714114603177,0.9908256149666836,0.9915344513463893,0.004172679557556025,385
13,8.911757588386536,0.7289587009640336,0.015258312225341797,0.0005555581364868456,0.05,4,5,800,31,0.85,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 31, 'subsample': 0.85}",0.9851877496750586,0.9936530292834966,0.9964714114603177,0.9908256149666836,0.9915344513463893,0.004172679557556025,385
14,8.77420175075531,0.1242015314740188,0.014502286911010742,0.0016585531947861457,0.05,4,5,800,31,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 31, 'subsample': 1.0}",0.9851877496750586,0.9936530292834966,0.9964714114603177,0.9908256149666836,0.9915344513463893,0.004172679557556025,385
15,8.951749205589294,0.7413078987514409,0.01613032817840576,0.0049537200586444365,0.05,4,5,800,45,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 45, 'subsample': 0.7}",0.9851877496750586,0.9936530292834966,0.9964714114603177,0.9908256149666836,0.9915344513463893,0.004172679557556025,385
16,8.587547540664673,0.22551133401225437,0.01625514030456543,0.0052592162610505255,0.05,4,5,800,45,0.85,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_samples': 5, 'n_estimators': 800, 'num_leaves': 45, 'subsample': 0.85}",0.9851877496750586,0.9936530292834966,0.9964714114603177,0.9908256149666836,0.9915344513463893,0.004172679557556025,385
