,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,3.8805235028266907,1.1678117576980422,0.02720165252685547,0.0043553426503764,0.01,4,sqrt,1,2,400,0.7,"{'learning_rate': 0.01, 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400, 'subsample': 0.7}",0.9851891641860084,0.987305837603845,0.9851799281333343,0.9844741717632528,0.9855372754216101,0.0010614706893780062,1907
1,3.3355754613876343,0.595600754440017,0.039782702922821045,0.002790546018264469,0.01,4,sqrt,1,2,400,0.85,"{'learning_rate': 0.01, 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400, 'subsample': 0.85}",0.983778156567101,0.9894214629415494,0.9851799281333343,0.9837682340290848,0.9855369454177674,0.0023150926510421646,1912
2,3.774233877658844,1.2260303413160036,0.0429343581199646,0.028952340992128196,0.01,4,sqrt,1,2,400,1.0,"{'learning_rate': 0.01, 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400, 'subsample': 1.0}",0.9837789956545375,0.988010991333756,0.9851799281333343,0.9837682340290848,0.9851845372876782,0.001729907939869031,1926
3,5.161195397377014,1.6237433901076954,0.03609061241149902,0.0022423992051476293,0.01,4,sqrt,1,2,600,0.7,"{'learning_rate': 0.01, 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 600, 'subsample': 0.7}",0.983778156567101,0.990832043980725,0.9865913635492072,0.9880026077606279,0.9873010429644152,0.002543350879313412,1815
4,5.271192848682404,1.0839728326066187,0.04025954008102417,0.0049245081590475305,0.01,4,sqrt,1,2,600,0.85,"{'learning_rate': 0.01, 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 600, 'subsample': 0.85}",0.983778156567101,0.9922425604822165,0.9872970496244795,0.9865912834128453,0.9874772625216606,0.003049954310539093,1790
5,4.28759491443634,1.0533034020343977,0.0402258038520813,0.004011227104714945,0.01,4,sqrt,1,2,600,1.0,"{'learning_rate': 0.01, 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 600, 'subsample': 1.0}",0.9837776401624525,0.9922425604822165,0.9865913635492072,0.9865912834128453,0.9873007119016805,0.0030757261637953124,1838
6,5.759047269821167,1.0182171540958105,0.05238521099090576,0.006486518146000732,0.01,4,sqrt,1,2,800,0.7,"{'learning_rate': 0.01, 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800, 'subsample': 0.7}",0.9837776401624525,0.9915373092462954,0.9872970496244795,0.9865912834128453,0.9873008206115182,0.002777773104751293,1821
7,7.173954546451569,1.0087144804259753,0.06585454940795898,0.022617400254798907,0.01,4,sqrt,1,2,800,0.85,"{'learning_rate': 0.01, 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800, 'subsample': 0.85}",0.9837776401624525,0.9929477997931089,0.9872970496244795,0.9865912834128453,0.9876534432482216,0.0033281849676279488,1786
8,7.646406531333923,1.4780487768953636,0.057839274406433105,0.010261718986032882,0.01,4,sqrt,1,2,800,1.0,"{'learning_rate': 0.01, 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800, 'subsample': 1.0}",0.9830720254675687,0.9915373092462954,0.9872970496244795,0.9865912834128453,0.9871244169377972,0.0030087176900767004,1850
9,6.502553284168243,0.37803452537209253,0.07427340745925903,0.02448710332164776,0.01,4,sqrt,1,2,900,0.7,"{'learning_rate': 0.01, 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 900, 'subsample': 0.7}",0.9816613609231993,0.9929476875576917,0.9872970496244795,0.9872969483988956,0.9873007616260665,0.0039903208230798,1826
