,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,3.753154456615448,1.0046349285917355,0.027251482009887695,0.028153482128802244,0.05,5,,1,2,150,0.8,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150, 'subsample': 0.8}",0.9802519537156409,0.992242282692651,0.9915313664163197,0.9978828342230808,0.9904771092619231,0.006395816279688696,1162
1,4.341912567615509,0.9863966072090917,0.01325136423110962,0.0038983805332805286,0.05,5,,1,2,150,0.9,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150, 'subsample': 0.9}",0.9830739113827349,0.9908316062395213,0.988708488555093,0.997177133385926,0.9899477848908188,0.005045557755417411,1204
2,4.054912447929382,1.2320365811608431,0.009770810604095459,0.00044646533214240413,0.05,5,,1,2,150,1.0,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150, 'subsample': 1.0}",0.9823680526023909,0.9915369556913675,0.988708398576796,0.997177133385926,0.9899476350641201,0.005333323621506003,1209
3,8.340062975883484,1.0455241950623648,0.021499991416931152,0.00269055055156269,0.05,5,,1,2,350,0.8,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 350, 'subsample': 0.8}",0.9816630027156343,0.9929475893487711,0.9908256149666836,0.9978828342230808,0.9908297603135425,0.005879211542345083,1139
4,7.829542398452759,0.8344883662420532,0.02074611186981201,0.002042898540752151,0.05,5,,1,2,350,0.9,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 350, 'subsample': 0.9}",0.9823680526023909,0.9929475893487711,0.9915313664163197,0.9992942822920636,0.9915353226648864,0.0060463792416041405,958
5,6.9964587688446045,0.5023663736181064,0.021771669387817383,0.004257793887701952,0.05,5,,1,2,350,1.0,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 350, 'subsample': 1.0}",0.9830735409682778,0.992242282692651,0.9908256149666836,0.9992942822920636,0.991358930229919,0.005759388515947605,1030
6,7.828608870506287,0.16236434758422616,0.024272918701171875,0.0008244208162783332,0.05,5,,1,2,450,0.8,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 450, 'subsample': 0.8}",0.9816630027156343,0.992242282692651,0.992236981492171,0.9985885610693866,0.9911827069924607,0.0060767104487567955,1066
7,8.123606383800507,0.3351389007077474,0.024966537952423096,0.001601462506301559,0.05,5,,1,2,450,0.9,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 450, 'subsample': 0.9}",0.9809569664048577,0.9943581500461534,0.9908256149666836,0.9992942822920636,0.9913587534274395,0.0067165915522518225,1046
8,7.869413733482361,0.39673359935588076,0.025242149829864502,0.0019074797315172163,0.05,5,,1,2,450,1.0,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 450, 'subsample': 1.0}",0.9809569664048577,0.9929475893487711,0.9915313664163197,0.9992942822920636,0.991182551115503,0.006587863793263145,1077
9,10.303476393222809,0.4478830717336919,0.03824961185455322,0.004086547062036013,0.05,5,,1,2,650,0.8,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 650, 'subsample': 0.8}",0.9830725980219531,0.9936528777649296,0.9908256149666836,0.9992942822920636,0.9917113432614075,0.005845574276649066,925
10,11.0194633603096,0.4907823202271587,0.03599923849105835,0.0015818161098653143,0.05,5,,1,2,650,0.9,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 650, 'subsample': 0.9}",0.9809569664048577,0.9943581500461534,0.9929428334648147,0.9985885610693866,0.9917116277463032,0.006547421253902496,877
11,11.630396068096161,0.5283044762964998,0.0357477068901062,0.0019146610499605457,0.05,5,,1,2,650,1.0,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 650, 'subsample': 1.0}",0.9816625284502379,0.9936528777649296,0.992237105212699,0.9992942822920636,0.9917116984299825,0.006374276915953738,867
12,2.29291695356369,0.0797159416795785,0.011999189853668213,0.0012241706174747002,0.05,5,,1,5,150,0.8,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150, 'subsample': 0.8}",0.9823684735375408,0.9901262322314954,0.990825669796826,0.9978828342230808,0.9903008024472357,0.0054935190969995756,1177
13,2.4345948100090027,0.07852566063000335,0.010500669479370117,0.0005021213012068476,0.05,5,,1,5,150,0.9,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150, 'subsample': 0.9}",0.9823684735375408,0.992242282692651,0.990825669796826,0.9978828342230808,0.9908298150625245,0.005552802483227976,1134
14,2.516821026802063,0.1057192573353019,0.011749207973480225,0.001784735430932687,0.05,5,,1,5,150,1.0,"{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150, 'subsample': 1.0}",0.9823684735375408,0.9908317886367694,0.9872967965574946,0.9992942836979535,0.9899478356074395,0.006176815569079395,1203
