,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
30,3.9934531450271606,0.09557027591413077,0.22644668817520142,0.008903344594330776,True,0.005,gini,10,sqrt,50,0.7,0.01,5,4,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 700}",0.9506331254413973,0.9640324015750186,0.9661242509243911,0.9703545853407773,0.962786090820396,0.007376877391301407,7
31,2.8006856441497803,0.26855819282437754,0.14281052350997925,0.01631734567169812,True,0.005,gini,10,sqrt,50,0.7,0.01,5,4,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 500}",0.9527503291104742,0.9696754637032101,0.9675350936960845,0.9561932058431664,0.9615385230882338,0.00721064198715578,15
32,2.3095625042915344,0.05200338875597741,0.12028288841247559,0.009417662083984403,True,0.005,gini,10,sqrt,50,0.7,0.01,5,4,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 450}",0.9294422053042743,0.9696754637032101,0.9300168369064991,0.9710635563779265,0.9500495155729775,0.02032693534468257,65
33,3.2783533334732056,0.056697333429017886,0.180422842502594,0.005840216387065784,True,0.005,gini,10,sqrt,50,0.7,0.01,5,8,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 700}",0.9548637636872931,0.9619175128115351,0.9477486545744468,0.9717610952789015,0.9590727565880441,0.008874647660019126,21
34,2.4552404284477234,0.054457316820372324,0.1476600170135498,0.004511127785797477,True,0.005,gini,10,sqrt,50,0.7,0.01,5,8,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 500}",0.9358051518855539,0.9626233946694797,0.9335474613950853,0.9703556485355648,0.9505829141214209,0.016159541332688588,59
35,2.190158486366272,0.07710950894599669,0.128278911113739,0.01064003508759378,True,0.005,gini,10,sqrt,50,0.7,0.01,5,8,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 450}",0.9287073610851845,0.9668543128533909,0.9668289548722572,0.9710628069132083,0.9583633589310103,0.017208404926347946,25
36,3.4165117740631104,0.14320878782235982,0.20230883359909058,0.013775141909005112,True,0.005,gini,10,sqrt,100,0.7,0.01,2,4,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 700}",0.9258959896038379,0.9717910308209845,0.9505730516244768,0.9710619420979831,0.9548305035368205,0.01875134046438782,38
37,2.376331150531769,0.10005680127056678,0.1509132981300354,0.02263337261674117,True,0.005,gini,10,sqrt,100,0.7,0.01,2,4,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.9506345985517626,0.9703805823620337,0.9200476355728877,0.9710619420979831,0.9530311896461667,0.020735042499153217,47
38,2.251646339893341,0.08747150920619802,0.13992083072662354,0.014556777932088013,True,0.005,gini,10,sqrt,100,0.7,0.01,2,4,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 450}",0.9520442753923035,0.9689701339030828,0.9569344902234811,0.9752950078431313,0.9633109768404997,0.009263384921706844,5
39,3.4920018315315247,0.1710966426911464,0.20967984199523926,0.015698852343576365,True,0.005,gini,10,sqrt,100,0.7,0.01,2,8,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 700}",0.9329366918587605,0.966149439006923,0.9491640955729354,0.9696503295173968,0.9544751389890038,0.014651685700210974,40
