,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_depth,param_grow_policy,param_l2_leaf_reg,param_learning_rate,param_max_bin,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1836,22.593161165714264,0.2316058054852128,0.02497655153274536,0.0018703977599307724,0.5,9,Depthwise,3,0.1,128,150,"{'bagging_temperature': 0.5, 'depth': 9, 'grow_policy': 'Depthwise', 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'max_bin': 128, 'n_estimators': 150}",0.9837797701197444,0.992242282692651,0.9929427491104976,0.9978828342230808,0.9917119090364934,0.005069403538780067,1288
1837,53.43542397022247,4.211745644156704,0.035755455493927,0.0041292903050012325,0.5,9,Depthwise,3,0.1,128,350,"{'bagging_temperature': 0.5, 'depth': 9, 'grow_policy': 'Depthwise', 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'max_bin': 128, 'n_estimators': 350}",0.9851903427387769,0.9929475893487711,0.9929428053469331,0.9971770996441991,0.9920644592696701,0.004328509565878859,1021
1838,68.81745302677155,6.502216836478762,0.02954399585723877,0.007122269159966094,0.5,9,Depthwise,3,0.1,128,450,"{'bagging_temperature': 0.5, 'depth': 9, 'grow_policy': 'Depthwise', 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'max_bin': 128, 'n_estimators': 450}",0.9851903427387769,0.9929475893487711,0.9929428053469331,0.9971770996441991,0.9920644592696701,0.004328509565878859,1021
1839,106.63946622610092,9.332307160474608,0.03506523370742798,0.006442021874242948,0.5,9,Depthwise,3,0.1,128,650,"{'bagging_temperature': 0.5, 'depth': 9, 'grow_policy': 'Depthwise', 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'max_bin': 128, 'n_estimators': 650}",0.9851903427387769,0.9929475893487711,0.9929428053469331,0.9971770996441991,0.9920644592696701,0.004328509565878859,1021
1840,27.147068679332733,1.5103808224287139,0.0243491530418396,0.004317198785989136,0.5,9,Depthwise,3,0.1,256,150,"{'bagging_temperature': 0.5, 'depth': 9, 'grow_policy': 'Depthwise', 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'max_bin': 256, 'n_estimators': 150}",0.9816639876499984,0.9915369556913675,0.9943541992883981,0.9985885610693866,0.9915359259247877,0.006227710124847997,1351
1841,62.06601756811142,4.621096570551857,0.027901291847229004,0.0049207339127105175,0.5,9,Depthwise,3,0.1,256,350,"{'bagging_temperature': 0.5, 'depth': 9, 'grow_policy': 'Depthwise', 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'max_bin': 256, 'n_estimators': 350}",0.9866006796641367,0.992242282692651,0.9943542442775466,0.9985885610693866,0.9929464419259303,0.004317984332972667,181
1842,77.10206335783005,6.479540741810101,0.034606218338012695,0.005882254901943858,0.5,9,Depthwise,3,0.1,256,450,"{'bagging_temperature': 0.5, 'depth': 9, 'grow_policy': 'Depthwise', 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'max_bin': 256, 'n_estimators': 450}",0.9866006796641367,0.992242282692651,0.9943542442775466,0.9985885610693866,0.9929464419259303,0.004317984332972667,181
1843,102.58434903621674,8.111942403882264,0.03213900327682495,0.0032961567330364676,0.5,9,Depthwise,3,0.1,256,650,"{'bagging_temperature': 0.5, 'depth': 9, 'grow_policy': 'Depthwise', 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'max_bin': 256, 'n_estimators': 650}",0.9866006796641367,0.992242282692651,0.9943542442775466,0.9985885610693866,0.9929464419259303,0.004317984332972667,181
1844,45.9677911400795,0.8418397059487176,0.02003234624862671,0.0022770591210017357,0.5,9,Depthwise,3,0.1,512,150,"{'bagging_temperature': 0.5, 'depth': 9, 'grow_policy': 'Depthwise', 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'max_bin': 512, 'n_estimators': 150}",0.9816637323068047,0.9901264483065952,0.9929428053469331,0.9978828342230808,0.9906539550458535,0.005886380426828003,1555
1845,101.62355387210846,12.124844644343558,0.02853989601135254,0.00557914963684515,0.5,9,Depthwise,3,0.1,512,350,"{'bagging_temperature': 0.5, 'depth': 9, 'grow_policy': 'Depthwise', 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'max_bin': 512, 'n_estimators': 350}",0.9866005197259626,0.9929476875576917,0.9936485532815809,0.9985885610693866,0.9929463304086555,0.004260199492235857,241
