,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_bootstrap_type,param_depth,param_iterations,param_learning_rate,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,8.991832196712494,0.25293616394474766,0.02301645278930664,0.0018378735754642837,0.2,Bayesian,6,300,0.01,,"{'bagging_temperature': 0.2, 'bootstrap_type': 'Bayesian', 'depth': 6, 'iterations': 300, 'learning_rate': 0.01}",0.9830746184925907,0.9880111344363328,0.9887082636066619,0.9929427491104974,0.9881841914115207,0.00350200682362037,47
1,9.122811138629913,0.26325876617214594,0.023890912532806396,0.0046866362190585995,0.2,Bayesian,6,300,0.05,,"{'bagging_temperature': 0.2, 'bootstrap_type': 'Bayesian', 'depth': 6, 'iterations': 300, 'learning_rate': 0.05}",0.987305837603845,0.9957686798758654,0.9936483508273879,0.994354041820732,0.9927692275319575,0.003245375092668298,24
2,14.967831492424011,0.5577036285938843,0.025385797023773193,0.003161624384368945,0.2,Bayesian,6,500,0.01,,"{'bagging_temperature': 0.2, 'bootstrap_type': 'Bayesian', 'depth': 6, 'iterations': 500, 'learning_rate': 0.01}",0.9851903427387769,0.9943582061641969,0.9887082636066619,0.9929426647541637,0.9902998693159499,0.0036088410978719456,41
3,14.622407078742981,0.5654352099230641,0.027256309986114502,0.004268387044626752,0.2,Bayesian,6,500,0.05,,"{'bagging_temperature': 0.2, 'bootstrap_type': 'Bayesian', 'depth': 6, 'iterations': 500, 'learning_rate': 0.05}",0.989421589208529,0.9950634672204972,0.994354131803331,0.9950598284213017,0.9934747541634147,0.0023578549979726866,9
4,15.27038061618805,0.2489149514557098,0.023632287979125977,0.003185200137190836,0.2,Bayesian,8,300,0.01,,"{'bagging_temperature': 0.2, 'bootstrap_type': 'Bayesian', 'depth': 8, 'iterations': 300, 'learning_rate': 0.01}",0.9873060396275961,0.9950634475795923,0.9901197306558291,0.9936483508273878,0.9915343921726014,0.003033285582979581,34
5,14.342928111553192,0.3451860506890145,0.02100592851638794,0.0007069553393356643,0.2,Bayesian,8,300,0.05,,"{'bagging_temperature': 0.2, 'bootstrap_type': 'Bayesian', 'depth': 8, 'iterations': 300, 'learning_rate': 0.05}",0.9915373597517307,0.9957686798758654,0.9950598973131997,0.994354041820732,0.994179994690382,0.0016056121158906287,2
6,24.09029048681259,0.21866122641405192,0.036752521991729736,0.006136247074871769,0.2,Bayesian,8,500,0.01,,"{'bagging_temperature': 0.2, 'bootstrap_type': 'Bayesian', 'depth': 8, 'iterations': 500, 'learning_rate': 0.01}",0.9880112298361529,0.9950634475795923,0.9936483508273879,0.9936483508273878,0.9925928447676302,0.0027075477705472426,26
7,24.141171395778656,0.4572798120634015,0.034753382205963135,0.0044355535616383,0.2,Bayesian,8,500,0.05,,"{'bagging_temperature': 0.2, 'bootstrap_type': 'Bayesian', 'depth': 8, 'iterations': 500, 'learning_rate': 0.05}",0.9908321169335286,0.996473905157498,0.994354131803331,0.994354041820732,0.9940035489287724,0.0020252403818132045,4
8,8.763226807117462,0.2577875023395354,0.026513397693634033,0.0030148451500435357,1,Bayesian,6,300,0.01,,"{'bagging_temperature': 1, 'bootstrap_type': 'Bayesian', 'depth': 6, 'iterations': 300, 'learning_rate': 0.01}",0.9837799637244911,0.9880111344363328,0.9887082636066619,0.992237058817963,0.9881841051463622,0.003005310137324233,48
9,8.86622679233551,0.2812088534833036,0.022880733013153076,0.005498715438546049,1,Bayesian,6,300,0.05,,"{'bagging_temperature': 1, 'bootstrap_type': 'Bayesian', 'depth': 6, 'iterations': 300, 'learning_rate': 0.05}",0.989421589208529,0.9950634475795923,0.9936483508273879,0.994354041820732,0.9931218573590603,0.002194153076364478,22
10,14.112252831459045,0.609161965494224,0.03301602602005005,0.002354266081521292,1,Bayesian,6,500,0.01,,"{'bagging_temperature': 1, 'bootstrap_type': 'Bayesian', 'depth': 6, 'iterations': 500, 'learning_rate': 0.01}",0.9851904016614919,0.9943582061641969,0.9887082636066619,0.9929427491104974,0.990299905135712,0.0036088356856098995,40
11,14.593953907489777,0.29444460434752345,0.03924959897994995,0.008256546118036447,1,Bayesian,6,500,0.05,,"{'bagging_temperature': 1, 'bootstrap_type': 'Bayesian', 'depth': 6, 'iterations': 500, 'learning_rate': 0.05}",0.9901267625807684,0.9950634475795923,0.994354131803331,0.994354041820732,0.993474595946106,0.0019544466049141044,11
12,14.403548240661621,0.33200603690751207,0.036874473094940186,0.004218310484399826,1,Bayesian,8,300,0.01,,"{'bagging_temperature': 1, 'bootstrap_type': 'Bayesian', 'depth': 8, 'iterations': 300, 'learning_rate': 0.01}",0.9873060648801129,0.9950634475795923,0.9901197306558291,0.9922368732334741,0.9911815290872521,0.002842959777148086,36
13,14.391238927841187,0.4231856972716546,0.03338891267776489,0.004090601577455372,1,Bayesian,8,300,0.05,,"{'bagging_temperature': 1, 'bootstrap_type': 'Bayesian', 'depth': 8, 'iterations': 300, 'learning_rate': 0.05}",0.9901269197103526,0.9957686546231477,0.9936483508273879,0.994354041820732,0.993474491745405,0.0020780554104061428,12
14,23.89943927526474,0.48008240156033044,0.023515045642852783,0.004237735642106011,1,Bayesian,8,500,0.01,,"{'bagging_temperature': 1, 'bootstrap_type': 'Bayesian', 'depth': 8, 'iterations': 500, 'learning_rate': 0.01}",0.9887164796689742,0.9950634475795923,0.9929425522759148,0.9929426647541637,0.9924162860696613,0.0023048894822511557,29
